cep,uf,cidade,bairro,logradouro,lat,lng,city_source,geo_source,updated_at
01238010,SP,São Paulo,Higienópolis,Rua Dona Veridiana,-23.5417015,-46.650936,brasilapi,brasilapi,2026-02-23T23:49:03.857Z
02552110,SP,São Paulo,Vila Bandeirantes,Rua Dias de Oliveira,-23.4963115,-46.6627535,brasilapi,brasilapi,2026-02-23T23:49:03.860Z
02634030,SP,São Paulo,Jardim Peri,Rua Marina Eston,-23.4586058,-46.6510956,brasilapi,brasilapi,2026-02-23T23:49:04.040Z
02860001,SP,São Paulo,Vila Souza,Avenida Deputado Cantídio Sampaio,-23.4722999,-46.6731251,brasilapi,brasilapi,2026-02-23T23:49:03.869Z
02995250,SP,São Paulo,Parque Nações Unidas,Rua Jair da Rosa Pinto,-23.5475,-46.63611,brasilapi,open-meteo,2026-02-23T23:49:04.791Z
03557010,SP,São Paulo,Jardim Hercilia,Rua Coroatá,-23.5383495,-46.5025688,brasilapi,brasilapi,2026-02-23T23:49:04.061Z
04455250,SP,São Paulo,Vila Campo Grande,Rua João Bressane,-23.5475,-46.63611,brasilapi,open-meteo,2026-02-23T23:49:04.800Z
04842310,SP,São Paulo,Parque Grajaú,Rua João Teixeira de Oliveira,-23.7468471,-46.6857852,brasilapi,brasilapi,2026-02-23T23:49:04.228Z
05069020,SP,São Paulo,Lapa de Baixo,Rua Engenheiro Fox,-23.5475,-46.63611,brasilapi,open-meteo,2026-02-23T23:49:04.970Z
05182030,SP,São Paulo,Cidade D'Abril,Rua Fernandez Cabalero,-23.5475,-46.63611,brasilapi,open-meteo,2026-02-23T23:49:05.147Z
05359001,SP,São Paulo,Vila Butantã,Avenida Nossa Senhora da Assunção,-23.5738625,-46.7420765,brasilapi,brasilapi,2026-02-23T23:49:04.982Z
05510021,SP,São Paulo,Butantã,Rua M.M.D.C.,-23.5726605,-46.7076115,brasilapi,brasilapi,2026-02-23T23:49:04.993Z
06147110,SP,Osasco,Santa Maria,Rua Capitão Carlos Lamarca,-23.5325,-46.79167,brasilapi,open-meteo,2026-02-23T23:49:05.363Z
07054170,SP,Guarulhos,Jardim Vila Galvão,Rua Braúlio Muniz,-23.46278,-46.53333,brasilapi,open-meteo,2026-02-23T23:49:05.361Z
09220200,SP,Santo André,Vila Metalúrgica,Rua Gibraltar,-23.66389,-46.53833,brasilapi,open-meteo,2026-02-23T23:49:05.402Z
09332110,SP,Mauá,Chácara Maria Aparecida,Rua Flor de Lotus,-23.66778,-46.46139,brasilapi,open-meteo,2026-02-23T23:49:05.532Z
11320010,SP,São Vicente,Centro,Avenida Quintino Bocaiuva,-23.966902,-46.3751959,brasilapi,brasilapi,2026-02-23T23:49:05.558Z
12215830,SP,São José dos Campos,Jardim São José Centro,Praça Platina,-23.1910418,-45.8719568,brasilapi,brasilapi,2026-02-23T23:49:05.622Z
12225600,SP,São José dos Campos,Parque Novo Horizonte,Rua dos Ferreiros,-23.1943909,-45.7877698,brasilapi,brasilapi,2026-02-23T23:49:05.615Z
12226837,SP,São José dos Campos,Jardim Santa Hermínia,Rua Francisco Cunha Laranjeira,-23.2110097,-45.7813207,brasilapi,brasilapi,2026-02-23T23:49:05.726Z
12227710,SP,São José dos Campos,Jardim Uirá,Rua das Seriemas,-23.17944,-45.88694,brasilapi,open-meteo,2026-02-23T23:49:05.937Z
12246023,SP,São José dos Campos,Parque Residencial Aquarius,Rua Célio José dos Santos,-23.2212052,-45.9089085,brasilapi,brasilapi,2026-02-23T23:49:05.818Z
12248899,SP,São José dos Campos,Área Rural de São José dos Campos,Área Rural,-23.17944,-45.88694,brasilapi,open-meteo,2026-02-23T23:49:05.995Z
13178574,SP,Sumaré,Residencial Real Parque Sumaré,Avenida Cabo Pedro Hoffman,-22.8292704,-47.2189548,brasilapi,brasilapi,2026-02-23T23:49:05.944Z
14807197,SP,Araraquara,Jardim Nova Época,Avenida Júlio Prestes de Albuquerque,-21.79444,-48.17556,brasilapi,open-meteo,2026-02-23T23:49:06.191Z
18526058,SP,Cerquilho,Jardim Bella Vista,Rua Monteiro Lobato,-23.165,-47.74361,brasilapi,open-meteo,2026-02-23T23:49:06.310Z
18550041,SP,Boituva,Centro,Rua Barão do Rio Branco,-23.2868631,-47.6771704,brasilapi,brasilapi,2026-02-23T23:49:06.130Z
19470000,SP,Presidente Epitácio,,,-21.765074,-52.11114,brasilapi,brasilapi,2026-02-23T23:49:06.205Z
20510230,RJ,Rio de Janeiro,Tijuca,Rua Andrade Neves,-22.9311166,-43.2365354,brasilapi,brasilapi,2026-02-23T23:49:06.324Z
20740570,RJ,Rio de Janeiro,Piedade,Rua do Tijolo,-22.90642,-43.18223,brasilapi,open-meteo,2026-02-23T23:49:06.561Z
20761130,RJ,Rio de Janeiro,Engenho da Rainha,Rua Ibiapaba,-22.90642,-43.18223,brasilapi,open-meteo,2026-02-23T23:49:06.570Z
20931005,RJ,Rio de Janeiro,Caju,Rua Carlos Seidl,-22.90642,-43.18223,brasilapi,open-meteo,2026-02-23T23:49:06.696Z
21830315,RJ,Rio de Janeiro,Senador Camará,Rua Nova Escócia,-22.90642,-43.18223,brasilapi,open-meteo,2026-02-23T23:49:06.698Z
